time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss
139,279.61538461538464,26,71,10000,0.0003,2474,1.7844040393829346,-7044158.619566654,254782.203125,-7.342754364013672,5183.33740234375
138,409.54545454545456,44,144,20000,0.0003,4974,3.2657763957977295,-11370395.403625613,557781.1875,-5.828985214233398,3674.362060546875
138,331.9642857142857,84,217,30000,0.0003,7474,5.557705402374268,-9105508.965738786,776365.625,-1.8285739421844482,6607.14697265625
137,137.8,176,290,40000,0.0003,9974,10.073984146118164,-3693824.8443039195,1014923.875,-16.930768966674805,9571.1162109375
137,166.01,230,363,50000,0.0003,12474,17.052337646484375,-4444269.210684691,1165163.625,-11.911476135253906,12286.3857421875
137,175.54,295,436,60000,0.0003,14974,28.249618530273438,-4779165.81629874,1318517.625,-6.567162036895752,12542.31640625
137,195.02,338,509,70000,0.0003,17474,46.33260726928711,-5476530.72148903,1441485.25,-4.812346935272217,13075.2568359375
137,57.12,571,582,80000,0.0003,19974,117.73753356933594,-1603103.42135286,1521991.625,-18.514514923095703,15511.5791015625
137,166.32,589,655,90000,0.0003,22474,189.33192443847656,-4878361.38078942,1638708.0,-4.353006839752197,23906.8359375
137,255.77,600,728,100000,0.0003,24974,257.3039855957031,-7558548.942986969,1713171.875,-1.0162709951400757,21746.78125
137,365.56,623,801,110000,0.0003,27474,248.74398803710938,-10832985.888456687,1761318.125,0.4877423048019409,23368.087890625
137,147.58,708,873,120000,0.0003,29974,142.24481201171875,-4250616.633937681,1866598.875,1.0005922317504883,26693.21875
137,42.44,1032,946,130000,0.0003,32474,145.5001983642578,-1126423.12569792,1890252.375,0.9482744932174683,27900.146484375
137,10.36,1478,1018,140000,0.0003,34974,88.22832489013672,-208103.29287677005,1876247.375,-4.76759672164917,35765.81640625
137,44.92,2042,1091,150000,0.0003,37474,137.92138671875,-1164243.5902373,1882693.75,0.412533164024353,29995.416015625
137,20.14,2275,1163,160000,0.0003,39974,110.74873352050781,-372713.55648354,1803681.875,-0.2921280860900879,26507.439453125
137,21.22,2613,1236,170000,0.0003,42474,125.21482849121094,-340387.51552399003,1793570.875,-5.624866485595703,36480.5625
137,31.81,2806,1310,180000,0.0003,44974,144.11685180664062,-655229.4171448601,1820621.625,-2.5126748085021973,36339.96484375
137,116.5,2863,1384,190000,0.0003,47474,131.9535675048828,-3136866.7377879294,1831698.0,-4.749209403991699,39378.23828125
137,13.28,3298,1458,200000,0.0003,49974,98.73068237304688,-173506.70283415,1930236.25,-1.2812964916229248,34464.0
136,21.26,3814,1533,210000,0.0003,52474,165.96498107910156,-294690.20043449,1932874.75,-2.5554862022399902,57692.4609375
136,49.56,4132,1608,220000,0.0003,54974,264.9583740234375,-549640.7743990201,1853970.875,-1.7329990863800049,52200.5234375
136,38.39,4350,1682,230000,0.0003,57474,237.2315216064453,-423818.1659145099,1705765.875,0.036264777183532715,45059.03125
136,36.07,4650,1757,240000,0.0003,59974,211.79957580566406,-410958.89330245,1627369.125,-1.783989667892456,38881.171875
136,33.21,4995,1832,250000,0.0003,62474,231.78160095214844,-540408.7855887101,1513581.125,-3.939815044403076,33649.29296875
136,42.56,5290,1907,260000,0.0003,64974,229.0743865966797,-541241.88501652,1429521.25,-0.3511340618133545,33768.140625
136,28.02,5652,1983,270000,0.0003,67474,214.12969970703125,-505909.47734792007,1315280.125,0.4734240174293518,29665.443359375
135,34.15,6036,2059,280000,0.0003,69974,202.5053253173828,-349136.14064801997,1234809.375,1.8354218006134033,29059.6796875
135,53.08,6234,2135,290000,0.0003,72474,200.6087188720703,-539130.36332739,1153775.375,-0.3516470193862915,27730.533203125
135,22.67,6584,2211,300000,0.0003,74974,185.24649047851562,-151654.25032460003,1084940.375,3.2999627590179443,30336.0234375
135,16.99,7170,2288,310000,0.0003,77474,178.98587036132812,-119651.53818192,1000810.125,1.2399160861968994,28760.79296875
135,14.54,7838,2365,320000,0.0003,79974,179.98524475097656,-111760.06387150001,918079.375,0.22460879385471344,30977.04296875
135,10.32,8860,2442,330000,0.0003,82474,186.3245391845703,-101755.78111868999,823490.875,-1.7541152238845825,26749.892578125
134,8.37,9990,2520,340000,0.0003,84974,196.00787353515625,-96465.47854307,745224.6875,-0.7720030546188354,30403.373046875
134,9.92,10983,2598,350000,0.0003,87474,211.33389282226562,-101649.55148118001,659404.8125,-0.11546459794044495,29568.0703125
134,8.69,12039,2676,360000,0.0003,89974,221.67422485351562,-95698.05640674001,583069.9375,-1.2834616899490356,30830.103515625
134,10.67,13083,2754,370000,0.0003,92474,227.0892333984375,-100415.68330248,494796.25,-0.18009191751480103,31505.04296875
134,14.41,13838,2832,380000,0.0003,94974,223.8425750732422,-102053.41215315001,449550.15625,-3.230402946472168,27715.23828125
133,9.47,14779,2911,390000,0.0003,97474,213.65777587890625,-92476.74137245999,369993.1875,1.224320411682129,25857.822265625
133,7.57,15933,2989,400000,0.0003,99974,206.24392700195312,-94920.34971429,331326.75,0.3829042315483093,21915.5625
133,7.68,17242,3068,410000,0.0003,102474,197.32884216308594,-94195.97791225002,274836.0625,-2.3783607482910156,17247.60546875
133,8.72,18456,3147,420000,0.0003,104974,176.2659912109375,-91489.32193483,217042.1875,2.9007158279418945,12414.716796875
133,9.62,19541,3225,430000,0.0003,107474,151.74862670898438,-91427.42920531,184219.921875,2.6634573936462402,9131.009765625
133,11.85,20502,3304,440000,0.0003,109974,128.0425567626953,-95577.35184212001,168767.4375,-0.029795557260513306,7009.951171875
133,13.91,21246,3383,450000,0.0003,112474,111.33460998535156,-96527.88437646998,162882.0,-1.2309435606002808,5314.34716796875
132,15.97,21951,3461,460000,0.0003,114974,93.62938690185547,-95012.64363357,160929.65625,-1.8606117963790894,4398.08251953125
132,30.23,22383,3540,470000,0.0003,117474,87.36449432373047,-177401.00533787996,149943.28125,2.237135171890259,3609.815673828125
132,31.74,22721,3619,480000,0.0003,119974,84.31013488769531,-111686.03879054001,149422.125,-3.250819206237793,3519.384765625
132,31.22,23019,3698,490000,0.0003,122474,80.90747833251953,-103204.65314843,158058.03125,-2.181412935256958,3437.089111328125
132,19.91,23480,3777,500000,0.0003,124974,71.80282592773438,-91219.23890279,150244.59375,-0.9544942378997803,3111.740234375
132,24.0,24010,3856,510000,0.0003,127474,68.3355484008789,-95430.37046939,131695.25,1.689134120941162,2919.77294921875
132,16.2,24557,3936,520000,0.0003,129974,68.06299591064453,-91825.57096303001,131277.4375,0.6777851581573486,2775.355712890625
131,14.75,25218,4016,530000,0.0003,132474,64.10396575927734,-90707.38706749999,142153.375,-3.451521158218384,2598.531005859375
131,45.4,25547,4095,540000,0.0003,134974,57.53535461425781,-93450.59314201,144336.921875,-2.0435550212860107,2732.376220703125
131,132.91,25560,4174,550000,0.0003,137474,54.34803771972656,-101540.92480038998,137835.28125,-0.766404390335083,2567.165283203125
131,229.76,25570,4253,560000,0.0003,139974,54.09553909301758,-110465.15388076,125683.25,2.4090323448181152,2329.65283203125
131,327.5,25580,4332,570000,0.0003,142474,54.61799240112305,-120633.18730232,125410.8984375,2.532374858856201,2194.962158203125
131,424.71,25590,4410,580000,0.0003,144974,54.34113311767578,-131924.00170402002,129656.3125,-0.1469126045703888,2369.282958984375
131,522.4,25600,4489,590000,0.0003,147474,54.552101135253906,-144502.06703434,129805.90625,2.0160465240478516,2122.1201171875
131,619.85,25610,4568,600000,0.0003,149974,54.617733001708984,-156961.85816236,118382.28125,-0.815940260887146,2457.263916015625
131,714.52,25620,4647,610000,0.0003,152474,54.70648193359375,-169527.47085661002,121288.375,0.3546994626522064,2158.8125
131,803.08,25630,4726,620000,0.0003,154974,56.1168327331543,-181447.64468555,117078.640625,1.9580137729644775,2082.799560546875
131,893.7,25640,4805,630000,0.0003,157474,55.366207122802734,-193471.76913885996,118195.2421875,-0.512283205986023,2147.475341796875
131,980.39,25650,4885,640000,0.0003,159974,54.30665588378906,-204064.96467885,109394.4921875,0.24063630402088165,2075.9482421875
130,1000.0,25660,4964,650000,0.0003,162474,53.66755294799805,-208817.19929387994,113179.875,0.04662624001502991,2196.2294921875
130,1000.0,25670,5043,660000,0.0003,164974,52.100006103515625,-211164.23995410002,105210.4375,0.5895134806632996,2120.9072265625
130,1000.0,25680,5122,670000,0.0003,167474,52.27773666381836,-212615.08715687998,104733.09375,-1.7161660194396973,2398.79345703125
130,1000.0,25690,5202,680000,0.0003,169974,50.68773651123047,-212116.84286529,107640.3203125,1.0544191598892212,2288.193603515625
130,1000.0,25700,5282,690000,0.0003,172474,49.58358383178711,-208516.83741297,93517.1640625,0.44802674651145935,2268.5322265625
130,1000.0,25710,5362,700000,0.0003,174974,48.65057373046875,-205192.1248476,100573.21875,0.1345389485359192,2409.0283203125
130,992.69,25721,5442,710000,0.0003,177474,47.26481246948242,-200030.86822800006,95806.578125,-0.08304305374622345,2232.897705078125
130,888.21,25743,5521,720000,0.0003,179974,46.693782806396484,-185683.16455026,89172.875,1.5434192419052124,2342.27685546875
130,642.12,25777,5602,730000,0.0003,182474,44.984825134277344,-153609.73811657997,91183.625,-0.7458180785179138,2659.17236328125
130,575.09,25792,5682,740000,0.0003,184974,43.97738265991211,-168595.90266976,101495.140625,-2.8068082332611084,2563.95556640625
130,560.18,25804,5762,750000,0.0003,187474,44.057579040527344,-191830.46421102004,90361.828125,-0.08284445106983185,2740.71728515625
130,560.18,25815,5842,760000,0.0003,189974,42.87489700317383,-195190.84790829997,90684.96875,0.19100064039230347,2835.7099609375
130,575.8,25824,5922,770000,0.0003,192474,41.425533294677734,-197731.53380802003,86238.78125,-0.36179935932159424,2854.17822265625
129,625.95,25835,6002,780000,0.0003,194974,38.16608428955078,-203356.96725728,87637.734375,-2.372560739517212,2634.18994140625
129,676.27,25848,6082,790000,0.0003,197474,37.801849365234375,-209130.60365586999,84229.21875,3.1605277061462402,2512.23779296875
129,730.35,25859,6162,800000,0.0003,199974,36.296119689941406,-213127.61340857,89834.28125,-0.8687395453453064,2469.35693359375
129,807.23,25869,6240,810000,0.0003,202474,36.015480041503906,-216076.70598147,80661.59375,-0.7233651876449585,2323.73486328125
129,880.4,25879,6321,820000,0.0003,204974,36.301761627197266,-224116.80209451998,88245.8046875,1.1022517681121826,2267.2109375
129,934.09,25889,6400,830000,0.0003,207474,40.390045166015625,-221559.32740801995,75419.34375,2.960503101348877,2138.9716796875
129,941.1,25899,6479,840000,0.0003,209974,41.222694396972656,-188769.98946761005,70048.1484375,2.6061201095581055,2132.498779296875
129,949.0,25909,6559,850000,0.0003,212474,39.46053695678711,-187899.3699884,67874.6171875,1.6757292747497559,2386.866455078125
129,949.0,25919,6639,860000,0.0003,214974,39.97356414794922,-184594.9679243,60804.15625,1.9836173057556152,2427.75341796875
129,950.07,25929,6719,870000,0.0003,217474,38.2730712890625,-178390.10307538003,66653.859375,-0.8461414575576782,2194.1220703125
129,29.53,26084,6799,880000,0.0003,219974,43.51021194458008,-97721.15927200999,59963.15625,-0.582608699798584,3012.926513671875
129,147.3,26096,6879,890000,0.0003,222474,40.33501052856445,-109035.09657448,52371.57421875,1.2578365802764893,2736.22412109375
129,225.92,26104,6959,900000,0.0003,224974,38.67427062988281,-114734.51860567,58037.4921875,-0.547501802444458,2471.83154296875
129,343.87,26116,7038,910000,0.0003,227474,40.563819885253906,-124727.6370829,58818.44921875,-0.4290132522583008,2370.141845703125
129,422.49,26124,7118,920000,0.0003,229974,38.053932189941406,-129718.97006507,45871.703125,1.5678012371063232,2519.081787109375
129,539.84,26136,7198,930000,0.0003,232474,32.84877014160156,-136415.34710098998,44227.12109375,2.156742572784424,2369.592529296875
129,618.43,26144,7278,940000,0.0003,234974,31.668153762817383,-140711.40491515998,46854.79296875,0.7763391137123108,2345.384033203125
129,735.74,26156,7357,950000,0.0003,237474,30.896387100219727,-148711.76914508003,36270.796875,2.9182183742523193,2522.108154296875
129,813.52,26164,7437,960000,0.0003,239974,28.54300880432129,-154184.9885981,42476.4140625,0.6503870487213135,2748.8046875
129,929.4,26176,7515,970000,0.0003,242474,28.41721534729004,-161919.63991342002,46741.80078125,1.4526100158691406,2537.607421875
129,1000.0,26184,7592,980000,0.0003,244974,27.602737426757812,-166405.66588051998,32656.42578125,3.941450595855713,2291.382080078125
129,1000.0,26196,7670,990000,0.0003,247474,27.481060028076172,-155798.91849241,37203.9296875,0.12822604179382324,2804.739501953125
129,1000.0,26204,7747,1000000,0.0003,249974,26.92816734313965,-148555.28429872,34993.41796875,0.8102750778198242,2573.9365234375
