train/explained_variance,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/value_loss,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/kl_divergence_loss,train/std,train/policy_objective
-4.76837158203125e-07,-175423.15129093995,6,1,10222217348.8,1486,10000,0.001,20.06,1.0,0.0062647596932947636,0.988004207611084,0.06378243863582611
0.0,-170552.23958428003,13,2,8124526460.0,1495,20000,0.001,19.16,1.0,0.007301527541130781,0.9807488322257996,0.0446634367108345
-1.1920928955078125e-07,-161775.86197817,20,3,8269741043.2,1498,30000,0.001,19.78,1.0,0.005848871078342199,0.9751205444335938,0.05765672028064728
1.1920928955078125e-07,-166505.56312881998,26,4,8237291279.2,1499,40000,0.001,19.55,1.0,0.00462844455614686,0.9672173857688904,0.038783032447099686
0.0,-138534.61847165,34,6,7043499778.4,1443,50000,0.001,16.71,1.0,0.004708179738372564,0.9443864822387695,0.04854689538478851
0.0,-131486.76030921002,41,7,7059340291.2,1451,60000,0.001,16.15,1.0,0.005780307110399008,0.9447867274284363,0.052983712404966354
-1.1920928955078125e-07,-123691.82700558001,48,8,6755384171.2,1455,70000,0.001,14.9,1.0,0.00544400280341506,0.9346186518669128,0.04841003566980362
0.0,-128468.07589369998,54,9,6344821469.6,1458,80000,0.001,17.38,1.0,0.006495676469057798,0.9298610687255859,0.055517908185720444
1.7881393432617188e-07,-124475.87547494998,61,10,5856250724.8,1459,90000,0.001,16.26,1.0,0.005689494777470827,0.9314692616462708,0.0550462044775486
0.0,-116968.26258308001,69,12,5986960181.6,1436,100000,0.001,16.52,1.0,0.006061125081032515,0.9221541881561279,0.051952868700027466
0.0,-117798.30447301001,76,13,5633783219.2,1439,110000,0.001,15.56,1.0,0.005580882076174021,0.9226281046867371,0.049333229660987854
0.0,-115079.88499976002,83,14,5718597673.6,1442,120000,0.001,17.8,1.0,0.006524393800646067,0.9174205660820007,0.057677384465932846
-1.1920928955078125e-07,-116198.86003342,89,15,5470722822.4,1444,130000,0.001,16.79,1.0,0.0056719593703746796,0.9153394103050232,0.04804142564535141
0.0,-114394.79351813,98,17,5224664687.2,1427,140000,0.001,15.63,1.0,0.006108403205871582,0.9073805809020996,0.059379298239946365
0.0,-111950.58723678002,104,18,5317780049.2,1429,150000,0.001,19.67,1.0,0.006252601742744446,0.8931366801261902,0.05940517410635948
0.0,-117543.53965321001,111,19,4904995544.4,1430,160000,0.001,23.12,1.0,0.0064735435880720615,0.8902209401130676,0.04518992453813553
1.1920928955078125e-07,-124891.61370872,118,20,4865568907.6,1429,170000,0.001,24.14,1.0,0.007243068423122168,0.8756073117256165,0.05025489628314972
0.0,-134714.17840421,125,21,4685599487.6,1431,180000,0.001,27.16,1.0,0.0069137816317379475,0.8736928105354309,0.06357931345701218
-2.384185791015625e-07,-129993.24818441,133,23,4422743727.6,1419,190000,0.001,28.01,1.0,0.006937297526746988,0.8677094578742981,0.05230565369129181
-1.1920928955078125e-07,-120449.99275513,140,24,4301063960.8,1419,200000,0.001,26.09,1.0,0.007214762270450592,0.8659091591835022,0.06503825634717941
-1.1920928955078125e-07,-130523.27113379,147,25,4424484742.0,1421,210000,0.001,32.06,1.0,0.0072850435972213745,0.8607917428016663,0.056523751467466354
0.0,-103996.79091485002,154,26,4278929784.4,1422,220000,0.001,36.92,1.0,0.007894719950854778,0.8512682914733887,0.06164717301726341
0.0,-105567.66508237999,162,28,3874033956.0,1411,230000,0.001,31.45,1.0,0.007364604156464338,0.8430953025817871,0.04827053099870682
0.0,-92270.19421466999,169,29,3563397622.0,1413,240000,0.001,34.66,1.0,0.008670649491250515,0.8358974456787109,0.061855945736169815
0.0,-82479.33362863002,176,30,3477759020.0,1414,250000,0.001,33.72,1.0,0.0075623332522809505,0.8341801762580872,0.05918971821665764
0.0,-59392.37740894,183,31,3288765458.0,1414,260000,0.001,29.79,1.0,0.008054452948272228,0.8311018347740173,0.0617242157459259
0.0,-48506.41142401,190,32,3301190772.4,1414,270000,0.001,33.33,1.0,0.008087263442575932,0.8269594311714172,0.056774694472551346
0.0,-33605.21697383,199,34,3073464674.8,1406,280000,0.001,31.6,1.0,0.008040954358875751,0.8146674633026123,0.054094098508358
0.0,-13527.87656806,206,35,2957895542.8,1406,290000,0.001,27.76,1.0,0.006746760103851557,0.8108665347099304,0.04423008859157562
0.010141909122467041,13252.342770599998,213,36,2975427250.6,1407,300000,0.001,24.64,1.0,0.008557231165468693,0.8091910481452942,0.05467365309596062
0.008788228034973145,13423.79147864,220,37,3169910414.4,1407,310000,0.001,26.13,1.0,0.008374752476811409,0.8070889115333557,0.054609913378953934
0.013099372386932373,34269.01390351,228,39,2741590720.2,1400,320000,0.001,26.09,1.0,0.007857438176870346,0.801569402217865,0.054683368653059006
0.01301497220993042,49023.73957291,235,40,2887681342.4,1400,330000,0.001,23.15,1.0,0.008243315853178501,0.7995939254760742,0.04988805577158928
7.748603820800781e-07,41052.97175928,242,41,3017994705.6,1400,340000,0.001,20.21,1.0,0.008846099488437176,0.7964065670967102,0.05507901683449745
5.960464477539062e-07,44590.762863799995,249,42,3076609672.2,1400,350000,0.001,23.06,1.0,0.008877645246684551,0.7880547642707825,0.06154647096991539
5.960464477539063e-08,48004.593663110005,257,43,3288776355.6,1399,360000,0.001,19.99,1.0,0.009436379186809063,0.7837628722190857,0.060456253588199615
2.384185791015625e-07,64018.78165012,265,45,3208803284.0,1392,370000,0.001,20.35,1.0,0.0090500982478261,0.7790105938911438,0.060303475707769394
2.384185791015625e-07,62522.78117983,272,46,3047483510.8,1392,380000,0.001,19.3,1.0,0.009214339777827263,0.7754192352294922,0.053338050842285156
1.1920928955078125e-07,74200.70920345999,279,47,3428589504.4,1393,390000,0.001,18.46,1.0,0.009057682938873768,0.7703290581703186,0.05584711581468582
1.1920928955078125e-07,85515.06249444,287,48,3471871158.4,1393,400000,0.001,18.4,1.0,0.008990985341370106,0.7674792408943176,0.060943424701690674
1.1920928955078125e-07,92636.88830031,295,50,3427063398.4,1387,410000,0.001,16.88,1.0,0.008955509401857853,0.7631695866584778,0.0563848614692688
0.0,85603.53944603,302,51,3912357146.8,1387,420000,0.001,16.54,1.0,0.009161458350718021,0.7614201903343201,0.0540732741355896
0.0,85496.64846255,310,52,3566251262.4,1386,430000,0.001,19.13,1.0,0.009452802129089832,0.7600138783454895,0.06391939520835876
-1.1920928955078125e-07,89270.31752725999,317,53,3892294959.2,1384,440000,0.001,17.27,1.0,0.009277133271098137,0.7597740292549133,0.05382482707500458
0.0,88856.70851087,325,54,3758420082.4,1382,450000,0.001,17.57,1.0,0.008999869227409363,0.7557196021080017,0.04782072827219963
0.0,88898.36319912999,334,56,3700472197.6,1376,460000,0.001,16.24,1.0,0.00928961206227541,0.753009557723999,0.05874238908290863
0.0,96431.73626272999,341,57,4288023380.0,1377,470000,0.001,15.36,1.0,0.009451312944293022,0.7523172497749329,0.05077466368675232
0.0,97381.77513937,348,58,4006942171.6,1377,480000,0.001,16.48,1.0,0.00917042326182127,0.7506256103515625,0.06401733309030533
0.0,94593.56450907,355,59,4291398795.2,1377,490000,0.001,15.15,1.0,0.009842162020504475,0.7492895126342773,0.05098213255405426
-1.1920928955078125e-07,91476.64307875,364,61,4371271186.4,1373,500000,0.001,16.49,1.0,0.009729146026074886,0.7424834370613098,0.04645819216966629
-1.1920928955078125e-07,97691.75839398001,371,62,3976609116.0,1373,510000,0.001,16.95,1.0,0.00974270049482584,0.7406668663024902,0.05985094606876373
5.960464477539063e-08,91468.51403378001,378,63,4325628872.8,1373,520000,0.001,15.76,1.0,0.009910323657095432,0.7391672134399414,0.046359043568372726
-1.1920928955078125e-07,95844.66066488,385,64,4203464799.2,1373,530000,0.001,17.66,1.0,0.009241105057299137,0.7368831038475037,0.06551223993301392
-1.1920928955078125e-07,102638.35952303,392,65,4249304517.6,1374,540000,0.001,14.43,1.0,0.009908747859299183,0.7354280352592468,0.05814221128821373
0.0,103736.47286123,401,67,4299296672.4,1370,550000,0.001,14.47,1.0,0.00892744679003954,0.7324213981628418,0.04944521561264992
-1.1920928955078125e-07,103400.10082935002,408,68,4356950224.0,1370,560000,0.001,15.46,1.0,0.009603261016309261,0.7309955954551697,0.06915711611509323
1.1920928955078125e-07,106160.48838879999,415,69,4646535240.4,1370,570000,0.001,14.46,1.0,0.009728317148983479,0.7297780513763428,0.05593349412083626
0.0,103188.10465844,423,70,4504530607.2,1370,580000,0.001,15.43,1.0,0.009553452953696251,0.7279744148254395,0.0578380823135376
0.0,101730.23303988,431,72,4459651598.0,1366,590000,0.001,14.55,1.0,0.00637609139084816,0.7241517901420593,0.04834217578172684
0.0,105564.64593734,439,73,4841929227.2,1366,600000,0.001,14.53,1.0,0.009176474064588547,0.7189876437187195,0.044441498816013336
0.0,110706.4,446,74,4644385278.0,1366,610000,0.001,14.44,1.0,0.009127025492489338,0.7167680859565735,0.04445374757051468
-1.1920928955078125e-07,112518.09329501,453,75,4752313227.6,1366,620000,0.001,14.46,1.0,0.009756728075444698,0.7150432467460632,0.044810134917497635
0.0,113550.98372066999,461,76,4766927760.8,1366,630000,0.001,14.37,1.0,0.006389897782355547,0.7136526107788086,0.049533601850271225
0.0,108091.70056592999,469,78,4740046434.4,1362,640000,0.001,14.06,1.0,0.009716854430735111,0.7107844352722168,0.06660540401935577
0.0,111525.63775411001,476,79,4969110588.8,1363,650000,0.001,14.02,1.0,0.009246617555618286,0.7079904675483704,0.05973885580897331
-2.384185791015625e-07,112259.26539896001,484,80,4937650260.8,1363,660000,0.001,13.72,1.0,0.009149095974862576,0.7058189511299133,0.04490681737661362
0.0,115589.34036219999,491,81,5073253405.6,1364,670000,0.001,13.44,1.0,0.008661963976919651,0.7025299668312073,0.040920838713645935
0.0,117024.54669640001,499,83,5308471487.2,1360,680000,0.001,12.9,1.0,0.009497924707829952,0.6974253058433533,0.04282822459936142
-1.1920928955078125e-07,111328.64345672,507,84,4920789828.8,1359,690000,0.001,13.97,1.0,0.009476684965193272,0.6965506672859192,0.06214575469493866
-1.1920928955078125e-07,118540.62056319001,515,85,5066908569.6,1358,700000,0.001,12.88,1.0,0.006712377071380615,0.6960623860359192,0.05377945303916931
1.1920928955078125e-07,117201.6,523,86,5474748432.0,1357,710000,0.001,13.59,1.0,0.008995219133794308,0.6941234469413757,0.04296902194619179
1.1920928955078125e-07,114291.57744801,530,87,5150437236.8,1356,720000,0.001,13.11,1.0,0.009433520026504993,0.691479504108429,0.05320001021027565
5.960464477539063e-08,119323.49530827001,539,89,5235210500.0,1352,730000,0.001,13.28,1.0,0.006498008966445923,0.6882894039154053,0.04280649125576019
0.0,118024.50850740001,547,90,5315321688.0,1351,740000,0.001,13.15,1.0,0.008664555847644806,0.6871254444122314,0.04108872264623642
1.1920928955078125e-07,116555.58789102,555,91,5324818270.4,1350,750000,0.001,12.96,1.0,0.008875744417309761,0.6853508353233337,0.04630153253674507
0.0,120267.3600513,562,92,5588879027.2,1350,760000,0.001,12.71,1.0,0.009788568131625652,0.6825702786445618,0.03979433327913284
0.0,118947.80587718001,570,93,5514578888.0,1349,770000,0.001,12.7,1.0,0.008311855606734753,0.6796331405639648,0.03555981069803238
0.0,114306.52145212,579,95,5580914151.2,1346,780000,0.001,12.79,1.0,0.009709276258945465,0.6765437126159668,0.0384005568921566
-1.1920928955078125e-07,119552.74872342002,586,96,5300646732.0,1346,790000,0.001,12.75,1.0,0.009515701793134212,0.6749613285064697,0.05474637448787689
-1.1920928955078125e-07,118947.6,593,97,5375849419.2,1347,800000,0.001,12.8,1.0,0.006625574082136154,0.6748244166374207,0.045290347188711166
0.0,119952.26085738999,601,98,5488612139.2,1346,810000,0.001,12.95,1.0,0.009969095699489117,0.6733582615852356,0.04949680715799332
0.0,120168.9,610,100,5629888441.6,1344,820000,0.001,12.56,1.0,0.006988405715674162,0.6704046130180359,0.03157663345336914
-1.1920928955078125e-07,119270.05194631999,617,101,5771313736.0,1343,830000,0.001,12.28,1.0,0.009339791722595692,0.6672582626342773,0.03968320041894913
0.0,121072.29725462999,625,102,5663291020.0,1342,840000,0.001,12.47,1.0,0.006564693059772253,0.6659862995147705,0.045297328382730484
1.7881393432617188e-07,115125.22377973002,633,103,5607679245.6,1342,850000,0.001,12.43,1.0,0.009732290171086788,0.6641175746917725,0.056279510259628296
0.0,121888.86653242,640,104,5572187624.0,1342,860000,0.001,12.28,1.0,0.009800479747354984,0.6631338000297546,0.061371300369501114
0.0,118933.4,649,106,5679688468.8,1340,870000,0.001,13.02,1.0,0.009581499733030796,0.6610264182090759,0.05012345314025879
0.0,121001.29295219001,656,107,5600248590.4,1340,880000,0.001,11.99,1.0,0.006581199821084738,0.6606261730194092,0.05375908687710762
-1.1920928955078125e-07,119370.91518511,663,108,5782257885.6,1340,890000,0.001,12.35,1.0,0.008929953910410404,0.6589718461036682,0.05035638436675072
0.0,118781.4,671,109,5770425664.0,1341,900000,0.001,12.0,1.0,0.008735611103475094,0.6572933197021484,0.03181954473257065
0.0,121102.83581282,680,111,5852047456.0,1338,910000,0.001,11.95,1.0,0.009673934429883957,0.6552178859710693,0.04572668671607971
0.0,122900.77716437001,687,112,5924710652.8,1338,920000,0.001,12.34,1.0,0.009795652702450752,0.654715359210968,0.038004107773303986
1.1920928955078125e-07,123804.5,694,113,5916640598.4,1338,930000,0.001,12.48,1.0,0.00967101939022541,0.6535313725471497,0.04978756234049797
0.0,124370.46328839,702,114,6016875048.0,1338,940000,0.001,11.71,1.0,0.00928597804158926,0.6520231366157532,0.04935615137219429
0.0,127252.9,709,115,6197274917.6,1339,950000,0.001,12.08,1.0,0.009892507456243038,0.6511554718017578,0.05326880142092705
-1.1920928955078125e-07,127267.63708803,717,117,6207268949.6,1337,960000,0.001,11.8,1.0,0.008374006487429142,0.6456181406974792,0.03897152468562126
1.1920928955078125e-07,126449.18016406,725,118,6278695103.2,1337,970000,0.001,11.9,1.0,0.009413394145667553,0.6437044143676758,0.04226183518767357
0.0,128261.55235836002,732,119,6331726357.6,1338,980000,0.001,12.08,1.0,0.006425315048545599,0.6419415473937988,0.044174015522003174
0.0,127166.54053996998,739,120,6381595806.4,1338,990000,0.001,11.78,1.0,0.009701534174382687,0.6401438117027283,0.04482385888695717
0.0,128175.8,747,122,6486319484.0,1336,1000000,0.001,11.8,1.0,0.00887067150324583,0.6361086964607239,0.04265893995761871
